ts,batch,status,lat_ms
1759912089.7031672,335,204,59970.36123275757
1759912089.7032683,324,204,59972.299575805664
1759912089.703328,328,204,59972.273111343384
1759912089.703372,327,204,59972.34606742859
1759912089.703411,333,204,59972.2626209259
1759912089.7112112,320,204,60006.20913505554
1759912089.711315,325,204,59980.326890945435
1759912089.7113886,330,204,59980.29351234436
1759912089.7114513,331,204,59980.33785820007
1759912089.7115119,322,204,59980.59678077698
1759912089.7115726,334,204,59980.40556907654
1759912089.7116292,329,204,59980.553150177
1759912089.7116852,332,204,59980.55410385132
1759912089.711741,321,204,59980.91769218445
1759912089.7253294,323,204,59994.335651397705
1759912149.7187512,340,204,60006.50978088379
1759912149.722331,351,204,59994.993925094604
1759912149.7224443,349,204,59996.70076370239
1759912149.7225633,336,204,60019.062757492065
1759912149.7226534,342,204,59997.198820114136
1759912149.7227118,344,204,59997.10941314697
1759912149.722779,339,204,60010.82515716553
1759912149.7228706,347,204,59997.1706867218
1759912149.7229476,337,204,60011.09957695007
1759912149.72301,341,204,60011.01350784302
1759912149.7230473,338,204,60011.133432388306
1759912149.7230952,345,204,59997.461795806885
1759912149.723141,348,204,59997.4205493927
1759912149.7231781,346,204,59997.51114845276
1759912149.7232122,350,204,59997.45416641235
1759912149.7232513,343,204,59997.70188331604
1759912209.7066743,363,204,59960.86502075195
1759912209.7113311,355,204,59965.68822860718
1759912209.7114584,359,204,59965.73233604431
1759912209.7115588,356,204,59965.888261795044
1759912209.7165532,362,204,59970.77703475952
1759912209.7166662,364,204,59970.85475921631
1759912209.7167454,352,204,59993.41368675232
1759912209.716823,366,204,59970.980167388916
1759912209.7168841,367,204,59971.0168838501
1759912209.7169504,353,204,59971.423864364624
1759912209.717009,365,204,59971.18353843689
1759912209.717072,360,204,59971.3294506073
1759912209.7171183,354,204,59971.516370773315
1759912209.7171743,361,204,59971.415758132935
1759912209.717239,357,204,59971.54998779297
1759912209.717354,358,204,59971.64607048035
1759912269.7130299,374,204,59977.832317352295
1759912269.716597,382,204,59981.311321258545
1759912269.716738,375,204,59981.621742248535
1759912269.7168577,369,204,59999.40729141235
1759912269.7169573,383,204,59981.65678977966
1759912269.7170544,381,204,59981.78935050964
1759912269.7171738,371,204,59999.642848968506
1759912269.717261,379,204,59982.05375671387
1759912269.7173615,376,204,59982.22613334656
1759912269.71743,368,204,60005.63907623291
1759912269.7175114,370,204,60000.00882148743
1759912269.717604,372,204,59982.60140419006
1759912269.7176788,378,204,59982.48910903931
1759912269.7177465,373,204,59982.68246650696
1759912269.7178156,377,204,59982.645988464355
1759912269.7178752,380,204,59982.65099525452
1759912329.714967,390,204,59972.36967086792
1759912329.7172344,389,204,59974.67923164368
1759912329.717365,396,204,59974.682331085205
1759912329.7174573,384,204,59999.48215484619
1759912329.7175505,391,204,59974.95913505554
1759912329.71761,385,204,59975.24952888489
1759912329.7177067,393,204,59975.077867507935
1759912329.7272575,387,204,59984.75670814514
1759912329.7273812,392,204,59984.77077484131
1759912329.7274656,398,204,59984.74955558777
1759912329.7275367,397,204,59984.83848571777
1759912329.7276044,388,204,59985.07618904114
1759912329.7276676,386,204,59985.212326049805
1759912329.7277315,399,204,59984.99822616577
1759912329.727791,395,204,59985.12840270996
1759912329.7278497,394,204,59985.20493507385
1759912389.7219906,401,204,59993.93701553345
1759912389.725635,410,204,59982.84339904785
1759912389.7257516,415,204,59982.59782791138
1759912389.725821,404,204,59997.74670600891
1759912389.7258992,412,204,59982.847452163696
1759912389.7259622,403,204,59997.90978431702
1759912389.7260475,402,204,59998.02255630493
1759912389.7261143,400,204,60008.216381073
1759912389.7262018,414,204,59983.083963394165
1759912389.726247,413,204,59983.155727386475
1759912389.7262979,405,204,59998.204946517944
1759912389.726358,406,204,59998.24666976929
1759912389.7264228,407,204,59983.853816986084
1759912389.7264783,411,204,59983.535289764404
1759912389.7265291,408,204,59983.84404182434
1759912389.7265673,409,204,59983.80756378174
1759912449.7120173,429,204,59959.71965789795
1759912449.714635,428,204,59962.36538887024
1759912449.7147853,427,204,59962.536096572876
1759912449.7148814,416,204,59988.22999000549
1759912449.7149417,421,204,59962.80574798584
1759912449.7150295,426,204,59962.798833847046
1759912449.723414,431,204,59971.09365463257
1759912449.723523,424,204,59971.32849693298
1759912449.7236018,418,204,59971.559047698975
1759912449.7236736,420,204,59971.56572341919
1759912449.723753,430,204,59971.45175933838
1759912449.723817,423,204,59971.641063690186
1759912449.7238817,419,204,59971.80938720703
1759912449.7239816,422,204,59971.82297706604
1759912449.724043,425,204,59971.83156013489
1759912449.7241032,417,204,59972.158670425415
1759912509.7232714,442,204,59982.70106315613
1759912509.7273045,443,204,59986.81569099426
1759912509.7274125,438,204,59987.20407485962
1759912509.7275262,432,204,60012.35103607178
1759912509.727626,434,204,60003.34978103638
1759912509.7277076,435,204,60003.40270996094
1759912509.727767,446,204,59987.19048500061
1759912509.7278647,439,204,59987.49876022339
1759912509.7279472,444,204,59987.42604255676
1759912509.728024,436,204,60003.695249557495
1759912509.7280893,440,204,59987.68758773804
1759912509.7282097,441,204,59987.77890205383
1759912509.728279,447,204,59987.67948150635
1759912509.7283247,437,204,60003.97348403931
1759912509.7283654,433,204,60004.15349006653
1759912509.7284045,445,204,59987.85066604614
1759912569.7120833,451,204,59958.63389968872
1759912569.7149203,449,204,59961.61961555481
1759912569.715062,454,204,59961.567401885986
1759912569.715175,463,204,59961.50779724121
1759912569.720822,448,204,59992.33102798462
1759912569.720935,458,204,59967.360734939575
1759912569.7210202,456,204,59967.4916267395
1759912569.7210987,453,204,59967.62776374817
1759912569.7211683,455,204,59967.65756607056
1759912569.721253,462,204,59967.60630607605
1759912569.7215168,460,204,59967.90671348572
1759912569.7216053,457,204,59968.058586120605
1759912569.7217035,450,204,59968.323945999146
1759912569.7218041,452,204,59968.35422515869
1759912569.721871,461,204,59968.24359893799
1759912569.7402227,459,204,59986.62972450256
1759912629.7216833,476,204,59981.01854324341
1759912629.7256715,479,204,59984.62510108948
1759912629.7257795,469,204,59985.39161682129
1759912629.7258904,465,204,60003.85499000549
1759912629.726066,468,204,59985.74161529541
1759912629.726216,464,204,60010.78486442566
1759912629.7263563,471,204,59985.91089248657
1759912629.7264426,477,204,59985.84818840027
1759912629.7265453,472,204,59986.082553863525
1759912629.7266026,478,204,59985.98790168762
1759912629.7266567,474,204,59986.143350601196
1759912629.7267158,470,204,59986.29832267761
1759912629.7267597,467,204,60004.63509559631
1759912629.7268248,466,204,60004.72903251648
1759912629.726879,473,204,59986.387729644775
1759912629.7269406,475,204,59986.40704154968
1759912689.7252774,484,204,59971.44055366516
1759912689.7292356,489,204,59975.34680366516
1759912689.7293932,485,204,59975.589990615845
1759912689.729523,487,204,59975.67391395569
1759912689.729638,480,204,60002.5897026062
1759912689.7297447,482,204,59976.046323776245
1759912689.7298453,491,204,59975.919008255005
1759912689.7299454,493,204,59975.980281829834
1759912689.7300386,488,204,59976.171255111694
1759912689.7301083,486,204,59976.28140449524
1759912689.7301667,495,204,59976.152658462524
1759912689.730276,490,204,59976.36914253235
1759912689.730368,481,204,59976.778507232666
1759912689.7304413,483,204,59976.70936584473
1759912689.73052,494,204,59976.52721405029
1759912689.754235,492,204,60000.288248062134
1759912749.7204156,511,204,59963.382720947266
1759912749.7226431,502,204,59967.9229259491
1759912749.7227716,499,204,59968.12462806702
1759912749.7228775,507,204,59968.05715560913
1759912749.722962,510,204,59968.04428100586
1759912749.7230396,504,204,59968.28031539917
1759912749.7318568,496,204,60001.1990070343
1759912749.7319562,506,204,59977.15616226196
1759912749.7320497,508,204,59977.20956802368
1759912749.7321565,509,204,59977.296113967896
1759912749.7322905,497,204,59977.718114852905
1759912749.7323775,501,204,59977.68044471741
1759912749.7324688,500,204,59977.792501449585
1759912749.7325764,505,204,59977.7946472168
1759912749.732731,498,204,59978.129625320435
1759912749.7328238,503,204,59978.084564208984
1759912809.7362056,512,204,60012.855052948
1759912809.741742,516,204,60008.59236717224
1759912809.741903,527,204,59989.986181259155
1759912809.742026,523,204,59990.20218849182
1759912809.7421587,524,204,59990.301847457886
1759912809.7422693,522,204,59990.46993255615
1759912809.7423606,518,204,59990.761041641235
1759912809.7424693,514,204,60009.37747955322
1759912809.7425864,517,204,60009.418964385986
1759912809.7426558,525,204,59990.78130722046
1759912809.7427025,513,204,60009.684801101685
1759912809.7428455,520,204,59991.11557006836
1759912809.7429507,526,204,59991.05262756348
1759912809.743022,519,204,59991.32418632507
1759912809.7430918,521,204,59991.33777618408
1759912809.74316,515,204,60010.03813743591
1759912869.7487798,543,204,59977.787733078
1759912869.7540314,533,204,59983.48784446716
1759912869.7542412,542,204,59983.5250377655
1759912869.7543473,541,204,59983.65020751953
1759912869.7545161,528,204,60011.277198791504
1759912869.7546465,531,204,59984.164237976074
1759912869.7547762,539,204,59984.11965370178
1759912869.7548635,540,204,59984.18927192688
1759912869.7550676,529,204,59984.73119735718
1759912869.7552202,532,204,59984.70449447632
1759912869.7554615,534,204,59984.90023612976
1759912869.7557185,538,204,59985.076904296875
1759912869.7558286,535,204,59985.249042510986
1759912869.7559037,537,204,59985.28432846069
1759912869.7559795,530,204,59985.54086685181
1759912869.756036,536,204,59985.437631607056
1759912929.729361,557,204,59944.127559661865
1759912929.7348142,549,204,59949.888467788696
1759912929.7350295,546,204,59950.2010345459
1759912929.735178,555,204,59950.146436691284
1759912929.7352893,556,204,59950.24108886719
1759912929.7355077,544,204,59979.350090026855
1759912929.7356272,550,204,59950.685024261475
1759912929.735746,554,204,59950.73199272156
1759912929.7358627,547,204,59950.99472999573
1759912929.7359643,558,204,59950.88219642639
1759912929.736036,548,204,59951.13778114319
1759912929.7361217,551,204,59951.16066932678
1759912929.7361925,559,204,59951.093673706055
1759912929.7362773,545,204,59951.557874679565
1759912929.7363696,553,204,59951.37333869934
1759912929.7364392,552,204,59951.46155357361
1759912989.729749,560,204,59993.090867996216
1759912989.735604,568,204,59971.97246551514
1759912989.7358203,572,204,59972.09715843201
1759912989.7359793,571,204,59972.27692604065
1759912989.7361343,569,204,59972.48864173889
1759912989.736262,564,204,59972.712993621826
1759912989.7363782,566,204,59972.78594970703
1759912989.73651,561,204,59973.08325767517
1759912989.736638,565,204,59973.066568374634
1759912989.7367477,570,204,59973.063707351685
1759912989.7368634,574,204,59973.103523254395
1759912989.7369866,563,204,59973.45328330994
1759912989.737129,573,204,59973.39344024658
1759912989.7373092,562,204,59973.82044792175
1759912989.7374375,567,204,59973.827600479126
1759912989.7375357,575,204,59973.750829696655
1759913049.7406492,576,204,60002.72178649902
1759913049.7472703,584,204,59978.495597839355
1759913049.747566,588,204,59978.718757629395
1759913049.7477376,583,204,59978.98578643799
1759913049.7478876,590,204,59979.00414466858
1759913049.7481093,581,204,59979.38776016235
1759913049.748242,585,204,59979.45237159729
1759913049.7483883,579,204,59979.74109649658
1759913049.7486238,589,204,59979.761362075806
1759913049.74874,580,204,59980.06367683411
1759913049.748876,582,204,59980.14426231384
1759913049.7490194,587,204,59980.193853378296
1759913049.7491248,586,204,59980.31711578369
1759913049.7492385,578,204,59980.62777519226
1759913049.7493389,591,204,59980.441093444824
1759913049.7494426,577,204,59980.8931350708
1759913109.7316751,603,204,59951.29585266113
1759913109.7376902,597,204,59957.52167701721
1759913109.7379491,601,204,59957.70478248596
1759913109.7381072,598,204,59957.921504974365
1759913109.7382617,599,204,59958.056688308716
1759913109.7384253,595,204,59958.32061767578
1759913109.7385695,592,204,59988.999128341675
1759913109.7387056,600,204,59958.48274230957
1759913109.7388566,606,204,59958.521127700806
1759913109.7389877,605,204,59958.67085456848
1759913109.73909,607,204,59958.73665809631
1759913109.739207,604,204,59958.90808105469
1759913109.7393167,594,204,59959.25259590149
1759913109.739441,602,204,59959.17987823486
1759913109.739574,596,204,59959.4349861145
1759913109.7697475,593,204,59989.75396156311
1759913169.7251492,623,204,59952.45623588562
1759913169.727727,620,204,59957.380294799805
1759913169.7279663,616,204,59957.70812034607
1759913169.7281976,608,204,59988.460540771484
1759913169.7283857,613,204,59958.19187164307
1759913169.728501,618,204,59958.20474624634
1759913169.7296422,611,204,59959.50126647949
1759913169.7297976,622,204,59959.40613746643
1759913169.729956,610,204,59959.86199378967
1759913169.7300608,615,204,59959.82599258423
1759913169.7301784,617,204,59959.90180969238
1759913169.7302966,609,204,59960.29281616211
1759913169.7304337,621,204,59960.06369590759
1759913169.7305481,619,204,59960.23178100586
1759913169.730665,612,204,59960.49356460571
1759913169.7667003,614,204,59996.48690223694
1759913229.737977,624,204,60008.78357887268
1759913229.745113,639,204,59976.05395317078
1759913229.7453926,636,204,59978.281021118164
1759913229.7455575,631,204,59978.55591773987
1759913229.745737,625,204,59978.95622253418
1759913229.745874,637,204,59978.74426841736
1759913229.7460294,634,204,59978.96194458008
1759913229.746174,638,204,59979.023694992065
1759913229.7463334,629,204,59979.381799697876
1759913229.7464585,626,204,59979.60686683655
1759913229.746575,635,204,59979.472160339355
1759913229.746694,628,204,59979.77828979492
1759913229.7468135,633,204,59979.76803779602
1759913229.7469306,627,204,59980.042695999146
1759913229.7470157,632,204,59979.99334335327
1759913229.747115,630,204,59980.138540267944
1759913289.7272024,642,204,59948.78339767456
1759913289.7314658,652,204,59952.900886535645
1759913289.7315822,645,204,59953.17792892456
1759913289.731665,646,204,59953.23705673218
1759913289.7317595,640,204,59984.1845035553
1759913289.7318156,653,204,59953.23467254639
1759913289.7318683,655,204,59953.24993133545
1759913289.7319348,651,204,59953.391790390015
1759913289.732007,654,204,59953.4068107605
1759913289.7320533,644,204,59953.67121696472
1759913289.7321367,647,204,59953.67789268494
1759913289.7321887,649,204,59953.6828994751
1759913289.732235,650,204,59953.71127128601
1759913289.7322822,641,204,59954.0319442749
1759913289.7323456,643,204,59953.99475097656
1759913289.7323883,648,204,59953.903675079346
1759913349.7421386,656,204,60009.42158699036
1759913349.7511554,661,204,59995.78309059143
1759913349.7513754,665,204,59995.935916900635
1759913349.7515874,666,204,59996.13261222839
1759913349.751761,657,204,59996.58966064453
1759913349.751927,659,204,59996.60587310791
1759913349.7520545,658,204,59996.77586555481
1759913349.7521956,670,204,59996.68073654175
1759913349.7523508,669,204,59996.84119224548
1759913349.7524977,663,204,59997.092962265015
1759913349.7526047,662,204,59997.21837043762
1759913349.7527018,667,204,59997.233629226685
1759913349.752804,671,204,59997.273445129395
1759913349.7528906,664,204,59997.47180938721
1759913349.7529693,660,204,59997.62225151062
1759913349.7530506,668,204,59997.567892074585
1759913409.7220361,677,204,59939.77642059326
1759913409.7273624,679,204,59945.072889328
1759913409.7275963,673,204,59945.547103881836
1759913409.7277226,674,204,59945.587396621704
1759913409.7278266,675,204,59945.64175605774
1759913409.740512,684,204,59958.01639556885
1759913409.7407506,672,204,59987.59627342224
1759913409.740962,678,204,59958.6968421936
1759913409.7411098,687,204,59958.63580703735
1759913409.7412424,686,204,59958.78624916077
1759913409.7414165,681,204,59959.078788757324
1759913409.7415936,685,204,59959.16295051575
1759913409.741728,683,204,59959.354639053345
1759913409.742047,682,204,59959.691762924194
1759913409.7422452,676,204,59960.02960205078
1759913409.765425,680,204,59983.12163352966
1759913469.7390914,697,204,59973.063468933105
1759913469.7462113,703,204,59978.30033302307
1759913469.7465272,700,204,59980.67355155945
1759913469.7467833,688,204,60018.53847503662
1759913469.746978,689,204,60004.48131561279
1759913469.7471209,695,204,59981.401205062866
1759913469.747243,694,204,59981.54854774475
1759913469.7473757,701,204,59981.50444030762
1759913469.7475712,691,204,60004.86493110657
1759913469.7476997,690,204,60005.059480667114
1759913469.747789,693,204,59982.221364974976
1759913469.7478724,692,204,60005.12981414795
1759913469.7479599,699,204,59982.13291168213
1759913469.7480447,698,204,59982.2416305542
1759913469.7481515,702,204,59982.25688934326
1759913469.7482553,696,204,59982.49912261963
1759913529.7292356,712,204,59950.53696632385
1759913529.7340832,706,204,59955.56688308716
1759913529.7343342,711,204,59955.66773414612
1759913529.734536,704,204,59986.133337020874
1759913529.7346995,715,204,59955.95979690552
1759913529.7348428,719,204,59956.01725578308
1759913529.7493198,708,204,59970.73554992676
1759913529.749438,717,204,59970.6506729126
1759913529.749544,705,204,59971.09913825989
1759913529.74964,710,204,59971.00567817688
1759913529.7497358,707,204,59971.18544578552
1759913529.7498302,716,204,59971.06051445007
1759913529.7499347,714,204,59971.21524810791
1759913529.7500253,709,204,59971.418619155884
1759913529.750112,713,204,59971.41218185425
1759913529.7684908,718,204,59989.68577384949
1759913589.734801,732,204,59965.86537361145
1759913589.7389164,735,204,59968.16921234131
1759913589.7390413,734,204,59970.176219940186
1759913589.739153,720,204,60003.939151763916
1759913589.7392342,731,204,59970.46661376953
1759913589.7393103,729,204,59970.60298919678
1759913589.7393777,730,204,59970.635652542114
1759913589.739444,722,204,59989.06135559082
1759913589.7395532,727,204,59970.92056274414
1759913589.7396173,721,204,59989.337682724
1759913589.7396731,725,204,59989.18962478638
1759913589.7397754,723,204,59989.351749420166
1759913589.7398813,726,204,59971.307039260864
1759913589.73994,728,204,59971.275329589844
1759913589.7399998,724,204,59989.537477493286
1759913589.740053,733,204,59971.213817596436
1759913649.7305796,750,204,59964.855670928955
1759913649.736283,749,204,59970.67093849182
1759913649.7364845,746,204,59970.93486785889
1759913649.7366433,736,204,59996.49882316589
1759913649.7368023,745,204,59971.30036354065
1759913649.7369146,744,204,59971.42744064331
1759913649.7370374,740,204,59971.62866592407
1759913649.7371433,751,204,59971.49610519409
1759913649.7372882,738,204,59971.940755844116
1759913649.7374184,747,204,59971.84634208679
1759913649.737512,748,204,59971.925258636475
1759913649.7375886,739,204,59972.2101688385
1759913649.7376645,741,204,59972.23615646362
1759913649.7377985,742,204,59972.34749794006
1759913649.7379038,737,204,59972.66435623169
1759913649.7702196,743,204,60004.751682281494
1759913709.7318215,754,204,59961.22860908508
